process,param,unit,Cp,Cpk,Pp,Ppk,판정
웨이퍼 제조,temperature,°C,1.101,1.091,1.049,1.039,양호(관리 필요)
웨이퍼 제조,oxygen_concentration,ppb,0.988,0.969,0.985,0.967,부적합
웨이퍼 제조,resistivity,Ω·cm,0.979,0.979,0.99,0.989,부적합
산화,temperature,°C,0.972,0.954,0.981,0.963,부적합
산화,time,min,0.984,0.945,0.972,0.933,부적합
산화,oxide_thickness,nm,0.96,0.945,0.987,0.972,부적합
포토,exposure_energy,mJ/cm²,1.015,1.004,1.011,1.0,양호(관리 필요)
포토,focus_distance,μm,1.048,1.04,0.992,0.985,양호(관리 필요)
포토,temperature,°C,1.011,0.959,0.97,0.92,부적합
식각,pressure,mTorr,1.083,1.082,1.11,1.109,양호(관리 필요)
식각,gas_flow,sccm,1.035,1.02,0.956,0.943,양호(관리 필요)
식각,power,W,0.94,0.912,0.931,0.903,부적합
증착,temperature,°C,1.002,0.992,1.027,1.017,부적합
증착,pressure,Torr,0.996,0.992,0.961,0.957,부적합
증착,deposition_rate,nm/min,1.15,1.12,1.083,1.054,양호(관리 필요)
금속 배선,current_density,mA/cm²,1.007,0.991,0.941,0.926,부적합
금속 배선,temperature,°C,1.107,1.073,1.076,1.043,양호(관리 필요)
금속 배선,plating_time,min,0.985,0.963,1.024,1.001,부적합
EDS,test_voltage,V,0.974,0.973,0.998,0.996,부적합
EDS,test_current,μA,1.049,1.022,1.063,1.036,양호(관리 필요)
패키징,dicing_speed,mm/s,1.01,0.987,1.044,1.02,부적합
패키징,bonding_strength,g,0.852,0.827,0.899,0.874,부적합
패키징,temperature,°C,0.992,0.96,0.995,0.963,부적합
