,precision,recall,f1-score,support
Center,0.7256857855361596,0.6995192307692307,0.7123623011015912,832.0
Donut,0.6065573770491803,0.7602739726027398,0.6747720364741642,146.0
Edge-Loc,0.8015075376884422,0.5753968253968254,0.6698866022679546,2772.0
Edge-Ring,0.8413855970829535,0.8197158081705151,0.8304093567251462,1126.0
Loc,0.7268292682926829,0.3775975671566143,0.4969979986657772,1973.0
Near-full,0.9625,0.8105263157894737,0.88,95.0
Random,0.5952380952380952,0.8754863813229572,0.7086614173228346,257.0
Scratch,0.22103463018383926,0.746031746031746,0.34102902374670185,693.0
accuracy,0.6048897897137067,0.6048897897137067,0.6048897897137067,0.6048897897137067
macro avg,0.6850922863839192,0.7080684809050128,0.6642648420380213,7894.0
weighted avg,0.721197347724612,0.6048897897137067,0.6290606660852607,7894.0
